button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,43,32,space,1.8687,13,1.4108,,,,,,56,0,21,21,56,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,30,32,space,2.2996,25,1.679,,,,,,36,0,22,22,36,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,33,32,space,1.9657,15,1.3866,,,,,,19,0,23,23,19,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,51,32,space,3.3533,21,2.9718,,,,,,73,0,24,24,73,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,42,32,space,2.1612,10,1.6051,,,,,,72,0,25,25,72,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,43,32,space,2.4277,6,1.7708,,,,,,57,0,26,26,57,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,33,32,space,2.0273,6,1.4552,,,,,,14,0,27,27,14,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,28,32,space,1.9607,12,1.6088,,,,,,28,0,28,28,28,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,47,32,space,2.7769,8,2.5379,,,,,,44,0,29,29,44,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,50,32,space,5.061,24,4.7523,,,,,,34,0,30,30,34,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,38,32,space,4.0518,48,3.7553,,,,,,58,0,31,31,58,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,40,32,space,2.8708,4,1.7903,,,,,,5,0,32,32,5,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,26,32,space,3.6072,24,2.9566,,,,,,6,0,33,33,6,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,45,32,space,3.7425,8,2.0405,,,,,,16,0,34,34,16,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,35,32,space,8.1921,1,6.2662,,,,,,0,0,35,35,0,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,35,32,space,3.1252,10,2.1869,,,,,,55,0,36,36,55,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,46,32,space,3.4775,21,3.2558,,,,,,9,0,37,37,9,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,39,32,space,2.0233,11,1.5033,,,,,,49,0,38,38,49,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,49,32,space,4.2951,33,3.925,,,,,,7,0,39,39,7,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,40,32,space,2.3065,20,1.6559,,,,,,43,0,40,40,43,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,39,32,space,2.017,12,1.3224,,,,,,40,0,41,41,40,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,41,32,space,2.0732,24,1.7386,,,,,,32,0,42,42,32,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,42,32,space,3.7717,14,2.72,,,,,,41,0,43,43,41,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,47,32,space,3.0205,47,2.4408,,,,,,77,0,44,44,77,1
